IP	MAC	HostName	CPU	RAM Size	Share File	SystemVer	NetCard Type	NetCard Vendor
161.200.144.1	A2:F5:FD:65:80:71	-	-	-		-	-	
161.200.145.1	86:C5:30:5C:3A:F2	-	-	-		-	-	
161.200.145.2	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.3	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.4	78:2B:CB:0A:3F:5C	-	-	-		-	-	Dell Inc
161.200.145.5	00:00:00:00:00:00	OMEGA	-	-		-	-	XEROX CORPORATION
161.200.145.6	DA:B3:27:6E:A6:58	-	-	-		-	-	
161.200.145.7	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.8	00:25:64:FD:28:EB	-	-	-		-	-	Dell Inc.
161.200.145.9	00:25:64:FD:3E:CF	-	-	-		-	-	Dell Inc.
161.200.144.10	78:E3:B5:99:CC:E2	ADM5402	-	-		-	-	Hewlett-Packard Company
161.200.145.10	D4:BE:D9:B1:99:55	-	-	-		-	-	Dell Inc
161.200.145.11	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.12	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.13	52:EF:E6:B2:3F:56	-	-	-		-	-	
161.200.144.14	00:1D:50:00:43:52	-	-	-		-	-	SPINETIX SA
161.200.145.14	78:2B:CB:1E:74:A2	DD18L82S	-	-		-	-	Dell Inc
161.200.145.15	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.16	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.17	18:03:73:4D:20:B2	CIR001	-	-		-	-	Dell Inc
161.200.145.17	1A:20:7C:00:66:D0	-	-	-		-	-	
161.200.145.18	36:31:61:31:35:32	-	-	-		-	-	
161.200.144.19	00:1E:4F:4A:3E:52	-	-	-		-	-	Dell Inc.
161.200.145.19	00:0C:76:EA:C6:D7	CAR-VSCAN	-	-		-	-	MICRO-STAR INTERNATIONAL CO., LTD.
161.200.145.20	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.21	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.22	96:09:CF:E1:1F:C4	INFOMASERV	-	-		-	-	
161.200.145.23	00:0C:76:EA:C7:C7	-	-	-		-	-	MICRO-STAR INTERNATIONAL CO., LTD.
161.200.144.24	18:03:73:4C:70:40	IRM5504	-	-		-	-	Dell Inc
161.200.145.24	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.25	18:03:73:4D:2B:08	CAR_CDA5504	-	-		-	-	Dell Inc
161.200.145.25	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.26	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.27	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.28	90:2B:34:75:A4:5B	CUBR-PC	-	-		-	-	GIGA-BYTE TECHNOLOGY CO.,LTD.
161.200.145.29	50:E5:49:14:FC:41	CUSC	-	-		-	-	GIGA-BYTE TECHNOLOGY CO.,LTD.
161.200.144.30	00:26:55:41:BE:5D	OPAC0909	-	-		-	-	Hewlett-Packard Company
161.200.144.31	78:E3:B5:99:CD:13	CAR-TIC	-	-		-	-	Hewlett-Packard Company
161.200.145.31	00:23:24:24:E1:82	-	-	-		-	-	G-PRO COMPUTER
161.200.144.32	98:90:96:BC:36:12	IRM581539	-	-		-	-	
161.200.145.32	00:1D:92:25:16:54	-	-	-		-	-	MICRO-STAR INT'L CO.,LTD.
161.200.145.33	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.34	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.35	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.145.36	F8:72:EA:B7:35:80	-	-	-		-	-	Cisco
161.200.144.37	00:21:70:66:53:23	-	-	-		-	-	Dell Inc
161.200.145.37	78:2B:CB:26:8B:EB	-	-	-		-	-	Dell Inc
161.200.144.38	F8:0F:41:C2:A3:3A	SO_LENOVO5711	-	-		-	-	Wistron InfoComm(ZhongShan) Corporation
161.200.145.38	F0:1F:AF:EA:22:03	-	-	-		-	-	Dell Inc PCBA Test
161.200.144.39	00:26:55:41:BE:9F	-	-	-		-	-	Hewlett-Packard Company
161.200.145.39	F0:1F:AF:EA:20:EB	-	-	-		-	-	Dell Inc PCBA Test
161.200.145.40	EC:B1:D7:84:46:68	-	-	-		-	-	
